"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"用户管理","用户同步管理-用户同步","查询同步任务列表接口","0","0","2","0","0"
"用户管理","用户同步管理-用户推送","同步用户列表状态查询接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","修改职位接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户ID精确查询用户接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表搜索接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","删除同步配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","数据源列表搜索接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","用户列表搜索接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","根据taskID查询任务日志接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","新增同步配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","编辑，获取同步根组id接口","1","0","0","0","0"
"用户管理","用户同步管理-用户同步","同步配置列表搜索接口","0","0","2","0","0"
"系统管理","权限管理-角色配置","角色详情查看接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","地域列表查询接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户组接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","普通用户重置密码接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","查询近几次的同步状态接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","根据数据源ID精确查找数据源接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","新增职位接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户组列表查看接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色列表接口","0","0","2","0","0"
"系统管理","权限管理-角色配置","角色新增接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","修改同步配置接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色待选菜单列表接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色修改接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","立即同步接口","0","0","1","0","0"
"用户管理","基础数据管理-职位管理","职位列表搜索接口","0","0","2","0","0"
"用户管理","用户同步管理-用户推送","用户推送接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","用户信息导出接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","查询所有同步配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","新增数据源配置接口","0","0","1","0","0"
"用户登录","用户登录模块","用户登录接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","修改数据源配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","删除数据源配置接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户组ID精确查询用户组接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","测试数据源配置接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户组接口","0","0","1","0","0"
