"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 17:45:51 CST 2023","Mon Aug 14 17:45:51 CST 2023","76","testcases","test_cases","TestUserSync","","","文档规则模板下载","文档规则模板下载"
"passed","Mon Aug 14 17:47:09 CST 2023","Mon Aug 14 17:47:10 CST 2023","137","testcases","test_cases","TestUserSync","","","获取所有可用于syslog的元数据字段信息","获取所有可用于syslog的元数据字段信息"
"passed","Mon Aug 14 17:48:01 CST 2023","Mon Aug 14 17:48:01 CST 2023","207","testcases","test_cases","TestUserSync","","","数据源列表搜索-按数据源名称搜索","数据源列表搜索-按数据源名称搜索"
"passed","Mon Aug 14 17:47:50 CST 2023","Mon Aug 14 17:47:51 CST 2023","744","testcases","test_cases","TestUserSync","","","导出自动化测试用户数据","导出自动化测试用户数据"
"passed","Mon Aug 14 17:48:52 CST 2023","Mon Aug 14 17:48:53 CST 2023","72","testcases","test_cases","TestUserSync","","","同步用户列表状态查询","同步用户列表状态查询"
"passed","Mon Aug 14 17:45:50 CST 2023","Mon Aug 14 17:45:50 CST 2023","281","testcases","test_cases","TestUserSync","","","查询自定义关键字规则策略","查询自定义关键字规则策略"
"passed","Mon Aug 14 17:46:29 CST 2023","Mon Aug 14 17:46:29 CST 2023","64","testcases","test_cases","TestUserSync","","","查询数据库所有备份信息-按时间筛选","查询数据库所有备份信息-按时间筛选"
"passed","Mon Aug 14 17:45:48 CST 2023","Mon Aug 14 17:45:48 CST 2023","85","testcases","test_cases","TestUserSync","","","新增正则规则","新增正则规则"
"passed","Mon Aug 14 17:48:18 CST 2023","Mon Aug 14 17:48:19 CST 2023","382","testcases","test_cases","TestUserSync","","","同步配置列表搜索-无搜索条件","不输入搜索条件，点击搜索，查看数据源列表"
"passed","Mon Aug 14 17:47:47 CST 2023","Mon Aug 14 17:47:48 CST 2023","346","testcases","test_cases","TestUserSync","","","批量删除自动化测试用户组","批量删除自动化测试用户组"
"passed","Mon Aug 14 17:48:18 CST 2023","Mon Aug 14 17:48:18 CST 2023","253","testcases","test_cases","TestUserSync","","","新增同步配置成功","输入正确的同步配置项，新增成功"
"passed","Mon Aug 14 17:47:56 CST 2023","Mon Aug 14 17:47:57 CST 2023","952","testcases","test_cases","TestUserSync","","","自动化测试管理员用户修改密码成功","自动化测试管理员用户修改密码成功"
"passed","Mon Aug 14 17:46:31 CST 2023","Mon Aug 14 17:46:31 CST 2023","258","testcases","test_cases","TestUserSync","","","角色列表搜索-按角色名称条件","输入角色名称搜索条件，点击搜索，查看角色列表"
"passed","Mon Aug 14 17:46:15 CST 2023","Mon Aug 14 17:46:26 CST 2023","10435","testcases","test_cases","TestUserSync","","","重新计算指纹","重新计算指纹"
"passed","Mon Aug 14 17:45:53 CST 2023","Mon Aug 14 17:45:54 CST 2023","192","testcases","test_cases","TestUserSync","","","新增指纹库-服务器导入-挂载","新增指纹库-服务器导入-挂载"
"failed","Mon Aug 14 17:46:51 CST 2023","Mon Aug 14 17:46:51 CST 2023","377","testcases","test_cases","TestUserSync","","","系统配置修改-修改账号锁定时间-修改值为非数字格式","系统配置修改-修改账号锁定时间-修改值为非数字格式-修改失败"
"passed","Mon Aug 14 17:47:12 CST 2023","Mon Aug 14 17:47:12 CST 2023","372","testcases","test_cases","TestUserSync","","","修改syslog信息","修改syslog信息"
"passed","Mon Aug 14 17:47:58 CST 2023","Mon Aug 14 17:47:59 CST 2023","915","testcases","test_cases","TestUserSync","","","修改自动化测试超级管理员为系统管理员","修改自动化测试超级管理员为系统管理员"
"passed","Mon Aug 14 17:47:48 CST 2023","Mon Aug 14 17:47:48 CST 2023","454","testcases","test_cases","TestUserSync","","","自建用户组新增普通职员用户成功","在自动化测试组下新增用户，职位为普通用户"
"passed","Mon Aug 14 17:47:07 CST 2023","Mon Aug 14 17:47:07 CST 2023","115","testcases","test_cases","TestUserSync","","","系统邮箱配置查询","系统邮箱配置查询"
"passed","Mon Aug 14 17:47:57 CST 2023","Mon Aug 14 17:47:58 CST 2023","1104","testcases","test_cases","TestUserSync","","","自动化测试管理员用户重置密码成功","自动化测试管理员用户重置密码成功"
"passed","Mon Aug 14 17:47:53 CST 2023","Mon Aug 14 17:47:53 CST 2023","745","testcases","test_cases","TestUserSync","","","删除自动化测试用户","删除自动化测试用户"
"passed","Mon Aug 14 17:45:49 CST 2023","Mon Aug 14 17:45:49 CST 2023","283","testcases","test_cases","TestUserSync","","","修改关键字规则","输入正确的关键字规则配置，修改关键字规则"
"passed","Mon Aug 14 17:47:46 CST 2023","Mon Aug 14 17:47:46 CST 2023","339","testcases","test_cases","TestUserSync","","","根据用户组ID精确查询用户组","根据用户组ID精确查询用户组"
"passed","Mon Aug 14 17:46:26 CST 2023","Mon Aug 14 17:46:26 CST 2023","97","testcases","test_cases","TestUserSync","","","测试连通性-FTP协议","测试连通性-FTP协议"
"passed","Mon Aug 14 17:45:52 CST 2023","Mon Aug 14 17:45:52 CST 2023","304","testcases","test_cases","TestUserSync","","","删除自动化测试规则","删除自动化测试规则"
"failed","Mon Aug 14 17:47:45 CST 2023","Mon Aug 14 17:47:45 CST 2023","121","testcases","test_cases","TestUserSync","","","新增用户组-特殊字符校验","新增用户组，用户组名称存在特殊字符，新增失败，提示信息正确"
"passed","Mon Aug 14 17:45:54 CST 2023","Mon Aug 14 17:46:05 CST 2023","10390","testcases","test_cases","TestUserSync","","","更新指纹库-服务器导入-挂载","更新指纹库-服务器导入-挂载"
"passed","Mon Aug 14 17:48:00 CST 2023","Mon Aug 14 17:48:00 CST 2023","382","testcases","test_cases","TestUserSync","","","职位列表搜索","职位列表搜索"
