"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"规则管理","基础规则-关键字/正则","文档规则列表查询接口","0","0","7","0","0"
"用户管理","用户同步管理-用户同步","新增同步配置接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户组ID精确查询用户组接口","0","0","1","0","0"
"用户管理","用户同步管理-用户推送","用户推送接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则列表查询接口","0","0","4","0","0"
"规则管理","基础规则-文件指纹","查询文档指纹库文件列表接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","批量删除用户接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","修改同步配置接口","0","0","1","0","0"
"规则管理","敏感级别-严重性等级管理","严重性等级列表查询接口","0","0","2","0","0"
"规则管理","基础规则-关键字/正则","导入文档规则sheet接口","0","0","1","0","0"
"用户登录","用户登录模块","用户登录接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","查询同步任务列表接口","0","0","2","0","0"
"用户管理","基础数据管理-用户与机构管理","修改用户接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5导出接口","0","0","2","0","0"
"规则管理","基础规则-文件指纹","查找远程服务器文件路径接口","0","0","1","0","0"
"系统管理","权限管理-管理员配置","管理员列表查询接口","0","0","4","0","0"
"用户管理","基础数据管理-用户与机构管理","用户列表搜索接口","0","0","3","0","0"
"用户管理","用户同步管理-用户同步","修改数据源配置接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5导入接口","0","0","3","0","0"
"系统管理","权限管理-管理员配置","管理员修改密码接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","文档指纹库列表查询接口","0","0","4","0","0"
"用户管理","用户同步管理-用户同步","根据数据源ID精确查找数据源接口","0","0","1","0","0"
"规则管理","基础规则-文件指纹","更新文档指纹库接口","0","0","2","0","0"
"用户管理","基础数据管理-职位管理","职位列表搜索接口","0","0","2","0","0"
"规则管理","基础规则-文件指纹","样本配置测试连通性接口","0","0","1","0","0"
"规则管理","基础规则-数据字典","文档规则导出数据核查接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","同步配置列表搜索接口","0","0","2","0","0"
"系统管理","权限管理-管理员配置","管理员删除接口","0","0","1","0","0"
"规则管理","基础规则-关键字/正则","文档规则新增接口","0","0","3","0","0"
"用户管理","基础数据管理-用户与机构管理","根据用户ID精确查询用户接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","数据源列表搜索接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","新增数据源配置接口","0","0","1","0","0"
"规则管理","基础规则-文件MD5","MD5删除接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","删除同步配置接口","0","0","1","0","0"
"用户管理","基础数据管理-用户与机构管理","新增用户接口","0","0","2","0","0"
"用户管理","用户同步管理-用户同步","根据taskID查询任务日志接口","0","0","1","0","0"
