"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"系统管理","权限管理-角色配置","角色新增接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色修改接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","删除数据源配置接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色删除接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","新增数据源配置接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","修改数据源配置接口","1","0","0","0","0"
"用户登录","用户登录模块","用户登录接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色列表接口","0","0","1","0","0"
"用户管理","用户同步管理-用户同步","数据源列表搜索接口","0","0","1","0","0"
"系统管理","权限管理-角色配置","角色详情查看接口","0","0","1","0","0"
