"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 10:16:47 CST 2023","Wed Jun 07 10:16:47 CST 2023","262","bms","test_cases","","","","新增角色成功",""
"passed","Wed Jun 07 10:16:48 CST 2023","Wed Jun 07 10:16:48 CST 2023","851","bms","test_cases","","","","修改角色成功",""
"passed","Wed Jun 07 10:16:48 CST 2023","Wed Jun 07 10:16:49 CST 2023","250","bms","test_cases","","","","删除数据源配置成功",""
"passed","Wed Jun 07 10:16:47 CST 2023","Wed Jun 07 10:16:47 CST 2023","151","bms","test_cases","","","","角色删除成功",""
"passed","Wed Jun 07 10:16:48 CST 2023","Wed Jun 07 10:16:48 CST 2023","71","bms","test_cases","","","","新增数据源配置成功",""
"failed","Wed Jun 07 10:16:49 CST 2023","Wed Jun 07 10:16:49 CST 2023","233","bms","test_cases","","","","修改数据源配置成功",""
"passed","Wed Jun 07 10:16:47 CST 2023","Wed Jun 07 10:16:47 CST 2023","110","bms","test_cases","","","","密码错误登录失败",""
"passed","Wed Jun 07 10:16:47 CST 2023","Wed Jun 07 10:16:48 CST 2023","72","bms","test_cases","","","","角色列表查看",""
"passed","Wed Jun 07 10:16:49 CST 2023","Wed Jun 07 10:16:49 CST 2023","185","bms","test_cases","","","","数据源列表搜索成功",""
"passed","Wed Jun 07 10:16:47 CST 2023","Wed Jun 07 10:16:47 CST 2023","183","bms","test_cases","","","","角色详情查看",""
